DBN,PEER INDEX*,2009-2010 OVERALL GRADE,2009-2010 ENVIRONMENT GRADE,2009-2010 PERFORMANCE GRADE,2009-2010 PROGRESS GRADE
12X047,58.29,C1,A2,D3,F4
12X050,69.29,D1,F2,D3,C4
12X057,62.22,B1,A2,C3,B4
12X061,59.55,C1,A2,D3,D4
12X066,65.24,B1,A2,C3,B4
12X067,64.5,C1,D2,C3,C4
12X092,64.82,B1,F2,D3,A4
12X098,2.43,A1,B2,C3,A4
12X102,62.32,C1,F2,F3,B4
12X129,2.49,B1,B2,C3,B4
12X134,64.59,B1,C2,D3,B4
12X150,66.54,A1,A2,B3,A4
12X190,2.5,B1,B2,D3,B4
12X195,62.42,C1,B2,D3,C4
12X196,62.71,B1,A2,B3,C4
12X211,69.99,A1,B2,D3,A4
12X212,65.18,C1,B2,D3,C4
12X214,60.02,B1,A2,C3,A4
12X217,2.3,A1,C2,C3,A4
12X242,2.68,A1,A2,B3,A4
12X245,1.97,F1,D2,F3,F4
12X245,2.31,C1,D2,F3,B4
12X248,1.97,A1,A2,A3,A4
12X251,2.06,A1,B2,B3,A4
12X262,1.89,F1,F2,F3,F4
12X267,2.25,A1,B2,B3,A4
12X271,1.95,B1,B2,A3,C4
12X271,2.36,B1,B2,C3,B4
12X273,2.56,B1,B2,C3,B4
12X278,2.17,C1,B2,C3,C4
12X286,2.48,A1,C2,C3,A4
12X300,62.22,C1,B2,F3,B4
12X316,2.64,A1,A2,B3,A4
12X318,2.39,C1,C2,D3,C4
12X341,2.32,A1,B2,C3,A4
12X372,2.79,C1,C2,F3,F4
12X383,2.41,B1,B2,C3,B4
12X384,2.31,A1,A2,D3,A4
12X428,,C1,A2,F3,C4
12X480,2.13,B1,A2,C3,C4
12X550,2.09,A1,A2,A3,B4
12X682,1.75,A1,A2,A3,C4
12X684,1.98,B1,B2,B3,B4
12X690,1.91,C1,D2,D3,C4
12X691,57.38,C1,B2,D3,C4
12X692,1.84,A1,C2,C3,A4
13K003,50.94,C1,B2,D3,C4
13K008,21.54,C1,B2,D3,F4
13K009,52.52,C1,B2,C3,D4
13K011,46.54,B1,B2,C3,B4
13K020,47.83,C1,B2,F3,D4
13K044,56.98,B1,B2,C3,B4
13K046,63.37,A1,B2,D3,A4
13K054,64.12,C1,C2,D3,C4
13K056,60.17,B1,A2,C3,A4
13K067,61.95,C1,B2,D3,B4
13K093,54.81,C1,C2,D3,C4
13K103,2.84,C1,B2,D3,C4
13K113,2.8,C1,C2,C3,C4
13K133,59.36,C1,B2,C3,C4
13K256,56.33,C1,D2,C3,C4
13K265,2.57,A1,D2,A3,A4
13K265,2.3,C1,C2,D3,D4
13K266,3.02,C1,C2,F3,F4
13K270,61.47,A1,B2,A3,A4
13K282,45.55,B1,B2,C3,B4
13K287,62.14,B1,B2,F3,A4
13K301,2.63,D1,C2,D3,D4
13K305,55.12,C1,C2,D3,B4
13K307,64.04,C1,B2,F3,C4
13K313,2.38,B1,C2,C3,A4
13K336,2.41,D1,F2,D3,D4
13K350,2.25,B1,B2,A3,B4
13K412,2.36,C1,B2,C3,C4
13K419,2.48,A1,C2,B3,A4
13K430,3.81,B1,D2,A3,B4
13K439,2.39,A1,A2,A3,A4
13K483,2.76,A1,B2,A3,B4
13K492,2.95,B1,B2,C3,C4
13K499,2.2,A1,F2,B3,A4
13K509,2.17,B1,C2,A3,C4
13K527,3.16,D1,B2,F3,F4
13K553,2.13,A1,A2,A3,A4
13K571,2.2,D1,F2,F3,F4
13K575,2.47,B1,A2,C3,B4
13K592,2.72,C1,B2,F3,F4
13K595,3.07,A1,B2,A3,A4
13K596,2.61,D1,D2,F3,C4
13K605,2.25,D1,C2,D3,D4
13K616,2.27,C1,C2,B3,C4
13K670,3.28,B1,D2,A3,B4
14K016,60.54,C1,B2,D3,F4
14K017,60.97,A1,B2,C3,A4
14K018,59.36,B1,A2,C3,B4
